epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,848.237,1.24805,1.70146,0.83733,0.97762,0.96984,0.55556,0.90781,0.57277,0.97177,0.54648,0.85629,0.38998,1.33559,3.29113,2.06532,1.06912,0.0213187,0.000318745,0.000318745
41,867.488,1.0402,1.39477,0.81329,0.92852,0.96984,0.55556,0.90781,0.57277,0.97177,0.54648,0.85629,0.38998,1.33559,3.29113,2.06532,1.06912,0.0193248,0.00032481,0.00032481
42,888.088,1.2156,1.66045,0.86095,0.92539,0.92215,0.80952,0.91053,0.58297,0.88599,0.77778,0.85991,0.4146,1.29816,2.86844,1.78023,1.05615,0.0173308,0.000330776,0.000330776
43,912.253,1.17345,1.64456,0.81714,0.95484,0.92215,0.80952,0.91053,0.58297,0.88599,0.77778,0.85991,0.4146,1.29816,2.86844,1.78023,1.05615,0.0153366,0.000336643,0.000336643
44,931.263,1.14912,1.58074,0.84923,0.96583,0.92215,0.80952,0.91053,0.58297,0.88599,0.77778,0.85991,0.4146,1.29816,2.86844,1.78023,1.05615,0.0133424,0.00034241,0.00034241
45,949.921,1.19617,1.7705,0.83405,1.04612,0.92215,0.80952,0.91053,0.58297,0.88599,0.77778,0.85991,0.4146,1.29816,2.86844,1.78023,1.05615,0.0113481,0.000348079,0.000348079
46,970.34,1.1266,1.59213,0.80852,0.96216,0.91443,0.84815,0.92164,0.58958,0.88032,0.81736,0.88293,0.42661,1.32141,2.61752,1.53241,1.06371,0.00935365,0.000353649,0.000353649
47,991.698,1.14609,1.6213,0.79107,0.92064,0.91443,0.84815,0.92164,0.58958,0.88032,0.81736,0.88293,0.42661,1.32141,2.61752,1.53241,1.06371,0.00735912,0.00035912,0.00035912
48,1011.96,1.23386,1.67097,0.85102,0.96885,0.91443,0.84815,0.92164,0.58958,0.88032,0.81736,0.88293,0.42661,1.32141,2.61752,1.53241,1.06371,0.00536449,0.000364491,0.000364491
49,1033.51,1.18789,1.68318,0.80909,0.95864,0.91443,0.84815,0.92164,0.58958,0.88032,0.81736,0.88293,0.42661,1.32141,2.61752,1.53241,1.06371,0.00336976,0.000369764,0.000369764
50,1058.43,1.24406,1.84326,0.82654,0.92592,0.91686,0.88889,0.93524,0.59186,0.90049,0.87302,0.90424,0.44816,1.31524,2.35803,1.30452,1.06819,0.00137494,0.000374938,0.000374938
51,1078.7,1.15716,1.65478,0.77587,0.97773,0.91686,0.88889,0.93524,0.59186,0.90049,0.87302,0.90424,0.44816,1.31524,2.35803,1.30452,1.06819,0.00037625,0.00037625,0.00037625
52,1097.58,1.24319,1.7152,0.85925,1.05126,0.91686,0.88889,0.93524,0.59186,0.90049,0.87302,0.90424,0.44816,1.31524,2.35803,1.30452,1.06819,0.000373775,0.000373775,0.000373775
