epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,198.279,1.63798,1.47115,0.92177,0.93481,0.86364,0.95839,0.49513,1.41178,1.78267,0.89257,0.0015842,0.0015842,0.0015842
65,201.913,1.59373,1.44079,0.87114,0.93481,0.86364,0.95839,0.49513,1.41178,1.78267,0.89257,0.0015776,0.0015776,0.0015776
66,205.688,1.71011,1.56517,0.85344,0.88404,0.86364,0.96105,0.53939,1.42366,1.55382,0.90958,0.001571,0.001571,0.001571
67,209.733,1.23693,1.41278,0.94801,0.88404,0.86364,0.96105,0.53939,1.42366,1.55382,0.90958,0.0015644,0.0015644,0.0015644
68,213.699,1.33532,2.05163,0.93441,0.88404,0.86364,0.96105,0.53939,1.42366,1.55382,0.90958,0.0015578,0.0015578,0.0015578
69,217.611,1.29088,1.43229,0.87066,0.88404,0.86364,0.96105,0.53939,1.42366,1.55382,0.90958,0.0015512,0.0015512,0.0015512
70,221.685,1.19332,1.91698,0.91061,0.8615,0.95455,0.96682,0.53823,1.37704,1.47844,0.89587,0.0015446,0.0015446,0.0015446
71,225.094,1.55789,1.69892,0.82529,0.8615,0.95455,0.96682,0.53823,1.37704,1.47844,0.89587,0.001538,0.001538,0.001538
72,228.418,1.56033,1.35836,0.85755,0.8615,0.95455,0.96682,0.53823,1.37704,1.47844,0.89587,0.0015314,0.0015314,0.0015314
73,231.52,1.27958,1.99854,0.94567,0.8615,0.95455,0.96682,0.53823,1.37704,1.47844,0.89587,0.0015248,0.0015248,0.0015248
74,234.768,1.52372,1.49106,0.8783,0.86286,0.95455,0.93267,0.51411,1.28564,1.40576,0.88341,0.0015182,0.0015182,0.0015182
75,237.88,1.75474,1.24251,0.89758,0.86286,0.95455,0.93267,0.51411,1.28564,1.40576,0.88341,0.0015116,0.0015116,0.0015116
76,241.042,1.55199,1.99607,0.9628,0.86286,0.95455,0.93267,0.51411,1.28564,1.40576,0.88341,0.001505,0.001505,0.001505
77,244.205,1.20789,1.81965,0.8086,0.86286,0.95455,0.93267,0.51411,1.28564,1.40576,0.88341,0.0014984,0.0014984,0.0014984
78,247.422,1.74435,1.28388,0.83535,0.87477,0.95265,0.94278,0.57773,1.26392,1.36189,0.8704,0.0014918,0.0014918,0.0014918
79,250.538,1.60748,1.5602,0.87995,0.87477,0.95265,0.94278,0.57773,1.26392,1.36189,0.8704,0.0014852,0.0014852,0.0014852
80,253.927,1.52701,2.87738,0.80916,0.87477,0.95265,0.94278,0.57773,1.26392,1.36189,0.8704,0.0014786,0.0014786,0.0014786
81,257.193,1.44526,1.95426,0.95818,0.87477,0.95265,0.94278,0.57773,1.26392,1.36189,0.8704,0.001472,0.001472,0.001472
82,260.585,1.39527,1.40241,0.84017,0.9205,0.95455,0.93653,0.6135,1.21916,1.27843,0.87538,0.0014654,0.0014654,0.0014654
83,263.766,1.62625,1.83057,0.84702,0.9205,0.95455,0.93653,0.6135,1.21916,1.27843,0.87538,0.0014588,0.0014588,0.0014588
84,266.776,0.76325,2.65971,0.46832,0.9205,0.95455,0.93653,0.6135,1.21916,1.27843,0.87538,0.0014522,0.0014522,0.0014522
85,269.865,1.28282,1.11797,0.88408,0.9205,0.95455,0.93653,0.6135,1.21916,1.27843,0.87538,0.0014456,0.0014456,0.0014456
86,272.811,1.40018,1.76315,0.80472,0.95001,0.95455,0.93017,0.59707,1.2187,1.23111,0.89028,0.001439,0.001439,0.001439
87,275.742,1.55784,2.98847,0.56284,0.95001,0.95455,0.93017,0.59707,1.2187,1.23111,0.89028,0.0014324,0.0014324,0.0014324
88,278.559,1.29924,1.41304,0.84264,0.95001,0.95455,0.93017,0.59707,1.2187,1.23111,0.89028,0.0014258,0.0014258,0.0014258
89,281.751,1.35467,1.57357,0.849,0.95001,0.95455,0.93017,0.59707,1.2187,1.23111,0.89028,0.0014192,0.0014192,0.0014192
90,285.246,1.50532,1.49193,0.84552,0.95395,0.94203,0.93426,0.59583,1.14552,1.24959,0.88091,0.0014126,0.0014126,0.0014126
91,288.728,1.60196,1.24955,0.90086,0.95395,0.94203,0.93426,0.59583,1.14552,1.24959,0.88091,0.001406,0.001406,0.001406
92,291.918,1.21071,2.29165,0.86735,0.95395,0.94203,0.93426,0.59583,1.14552,1.24959,0.88091,0.0013994,0.0013994,0.0013994
93,295.518,1.53652,1.71298,0.93474,0.95395,0.94203,0.93426,0.59583,1.14552,1.24959,0.88091,0.0013928,0.0013928,0.0013928
94,300.4,1.31474,2.32128,0.8066,0.91248,0.94811,0.92939,0.5752,1.15348,1.21042,0.87253,0.0013862,0.0013862,0.0013862
95,304.638,0.63968,2.40648,0.42866,0.91248,0.94811,0.92939,0.5752,1.15348,1.21042,0.87253,0.0013796,0.0013796,0.0013796
96,308.23,1.34573,1.39452,0.91659,0.91248,0.94811,0.92939,0.5752,1.15348,1.21042,0.87253,0.001373,0.001373,0.001373
97,311.672,1.17333,1.32001,0.80389,0.91248,0.94811,0.92939,0.5752,1.15348,1.21042,0.87253,0.0013664,0.0013664,0.0013664
98,315.195,1.30354,1.03414,0.84422,0.87418,0.94769,0.90749,0.56984,1.16388,1.15053,0.86806,0.0013598,0.0013598,0.0013598
99,318.48,1.21017,1.62702,0.8173,0.87418,0.94769,0.90749,0.56984,1.16388,1.15053,0.86806,0.0013532,0.0013532,0.0013532
100,321.885,1.27154,1.13915,0.84596,0.87418,0.94769,0.90749,0.56984,1.16388,1.15053,0.86806,0.0013466,0.0013466,0.0013466
101,325.276,0.94718,1.52285,0.80281,0.87418,0.94769,0.90749,0.56984,1.16388,1.15053,0.86806,0.00134,0.00134,0.00134
102,328.983,1.64662,1.71577,0.90708,0.87463,0.95145,0.91009,0.58332,1.1649,1.11701,0.87344,0.0013334,0.0013334,0.0013334
103,332.872,1.07604,1.29008,0.84927,0.87463,0.95145,0.91009,0.58332,1.1649,1.11701,0.87344,0.0013268,0.0013268,0.0013268
104,336.763,0.95323,1.16091,0.75889,0.87463,0.95145,0.91009,0.58332,1.1649,1.11701,0.87344,0.0013202,0.0013202,0.0013202
105,341.103,0.9623,1.16314,0.84787,0.87463,0.95145,0.91009,0.58332,1.1649,1.11701,0.87344,0.0013136,0.0013136,0.0013136
106,345.571,1.29667,1.16209,0.86508,0.87494,0.95455,0.92564,0.63924,1.14543,1.09116,0.87706,0.001307,0.001307,0.001307
107,349.911,1.43256,1.71057,0.7714,0.87494,0.95455,0.92564,0.63924,1.14543,1.09116,0.87706,0.0013004,0.0013004,0.0013004
